pick,team,player_name
126,Welcome To The Pig Sty,Lachie Hunter
127,Monsieur Johnson,Shaun Higgins
128,The Big 4 Bull,Daniel Rioli
129,The Big 4 Bull,Noah Anderson
130,Monsieur Johnson,Scott Lycett
131,Welcome To The Pig Sty,Todd Goldstein
132,DoYouLikeThat,Jeremy Sharp
133,If Jorginho Scored That Penalty,Justin McInerney
134,Bulls on parade,Tom Liberatore
135,Putin's Peacekeepers,Kane Lambert
136,the best team,Toby Nankervis
137,the best team,Dylan Shiel
138,Putin's Peacekeepers,Nic Naitanui
139,Bulls on parade,Josh P. Kennedy
140,If Jorginho Scored That Penalty,Patrick Lipinski
141,DoYouLikeThat,Joe Daniher
142,Welcome To The Pig Sty,Jamie Elliott
143,Monsieur Johnson,Nick Vlastuin
144,The Big 4 Bull,Jye Caldwell
145,The Big 4 Bull,Bradley Hill
146,Monsieur Johnson,Tom McDonald
147,Welcome To The Pig Sty,John Noble
148,DoYouLikeThat,Callan Ward
149,If Jorginho Scored That Penalty,Wil Powell
150,Bulls on parade,Elliot Yeo
151,Putin's Peacekeepers,Jarman Impey
152,the best team,Matt Rowell
153,the best team,Luke Davies-Uniacke
154,Putin's Peacekeepers,Luke Shuey
155,Bulls on parade,Liam Duggan
156,If Jorginho Scored That Penalty,Hunter Clark
157,DoYouLikeThat,Jarrod Berry
158,Welcome To The Pig Sty,Hayden Young
159,Monsieur Johnson,Ben Cunnington
160,The Big 4 Bull,Conor Nash
161,The Big 4 Bull,Kyle Langford
162,Monsieur Johnson,Jamie Cripps
163,Welcome To The Pig Sty,Ben McEvoy
164,DoYouLikeThat,Wayne Milera
165,If Jorginho Scored That Penalty,Jack Viney
166,Bulls on parade,Tom Powell
167,Putin's Peacekeepers,Alex Neal-Bullen
168,the best team,Matt Taberner
169,the best team,Sam Draper
170,Putin's Peacekeepers,David Swallow
171,Bulls on parade,Luke Jackson
172,If Jorginho Scored That Penalty,Joshua Rachele
173,DoYouLikeThat,Luke McDonald
174,Welcome To The Pig Sty,Rory Sloane
175,Monsieur Johnson,Peter Wright
176,The Big 4 Bull,Nick Blakey
